2018-12-07 20:29:02,906	INFO	Feeding...
2018-12-07 20:29:03,909	INFO	Done Feeding
2018-12-07 20:29:03,911	INFO	Stopping PWM
2018-12-07 20:29:03,913	INFO	PWM Stopped
2018-12-07 20:29:03,915	INFO	Feed Completed Successfully
2018-12-07 20:29:03,918	INFO	Cleaning Up, clearing pins
2018-12-07 20:29:17,574	INFO	Feeding for 1.0 seconds
2018-12-07 20:29:17,575	INFO	Starting Motor...
2018-12-07 20:29:17,577	INFO	Motor Started Successfully
2018-12-07 20:29:17,578	INFO	Starting PWM...
2018-12-07 20:29:17,580	INFO	PWM Started Successfully
2018-12-07 20:29:17,581	INFO	Feeding...
2018-12-07 20:29:18,584	INFO	Done Feeding
2018-12-07 20:29:18,585	INFO	Stopping PWM
2018-12-07 20:29:18,586	INFO	PWM Stopped
2018-12-07 20:29:18,587	INFO	Feed Completed Successfully
2018-12-07 20:29:18,589	INFO	Cleaning Up, clearing pins
2018-12-07 20:29:34,486	INFO	Feeding for 1.0 seconds
2018-12-07 20:29:34,488	INFO	Starting Motor...
2018-12-07 20:29:34,490	INFO	Motor Started Successfully
2018-12-07 20:29:34,493	INFO	Starting PWM...
2018-12-07 20:29:34,495	INFO	PWM Started Successfully
2018-12-07 20:29:34,497	INFO	Feeding...
2018-12-07 20:29:35,500	INFO	Done Feeding
2018-12-07 20:29:35,502	INFO	Stopping PWM
2018-12-07 20:29:35,504	INFO	PWM Stopped
2018-12-07 20:29:35,506	INFO	Feed Completed Successfully
2018-12-07 20:29:35,507	INFO	Cleaning Up, clearing pins
2018-12-09 00:54:05,421	INFO	Feeding for 4.0 seconds
2018-12-09 00:54:05,424	INFO	Starting Motor...
2018-12-09 00:54:05,426	INFO	Motor Started Successfully
2018-12-09 00:54:05,428	INFO	Starting PWM...
2018-12-09 00:54:05,431	INFO	PWM Started Successfully
2018-12-09 00:54:05,433	INFO	Feeding...
2018-12-09 00:54:09,439	INFO	Done Feeding
2018-12-09 00:54:09,441	INFO	Stopping PWM
2018-12-09 00:54:09,444	INFO	PWM Stopped
2018-12-09 00:54:09,446	INFO	Feed Completed Successfully
2018-12-09 00:54:09,448	INFO	Cleaning Up, clearing pins
2018-12-11 21:31:59,441	INFO	Feeding for 4.0 seconds
2018-12-11 21:31:59,444	INFO	Starting Motor...
2018-12-11 21:31:59,446	INFO	Motor Started Successfully
